CloneOf;Name;Description;Year;Manufacturer
a2000kbd_us;a600kbd_fr;Amiga 600 Keyboard (France/Belgium);;
a2000kbd_us;a600kbd_gb;Amiga 600 Keyboard (UK);;
a2000kbd_us;a600kbd_it;Amiga 600 Keyboard (Italy);;
a2000kbd_us;a600kbd_no;Amiga 600 Keyboard (Norway);;
a2000kbd_us;a600kbd_se;Amiga 600 Keyboard (Sweden/Finland);;
a2000kbd_us;a600kbd_us;Amiga 600 Keyboard (U.S./Canada);;
a600;a600n;Amiga 600 (NTSC);1992;Commodore
a800xl;a600xl;Atari 600XL;1983;Atari
a800xl;a65xe;Atari 65XE;1986;Atari
a800xl;a65xea;Atari 65XE (Arabic);1986;Atari
rpc600;a7000;Archimedes A7000;1995;Acorn
rpc600;a7000p;Archimedes A7000+;1997;Acorn
;a7150;A7150;1986;VEB Robotron
;a7800;Atari 7800 (NTSC);1986;Atari
a7800;a7800p;Atari 7800 (PAL);1986;Atari
;a78_cart_slot;Atari 7800 Cartridge Slot;;
;a78_hiscore;Atari 7800 High Score Cart;;
;a78_megacart;Atari 7800 MegaCart+;;
;a78_p450_t0;Atari 7800 ROM Carts w/POKEY @ 0x0450;;
;a78_p450_t1;Atari 7800 ROM Carts w/no Bankswitch + POKEY + POKEY @ 0x0450;;
;a78_p450_t6;Atari 7800 ROM Carts w/SuperGame Bankswitch + RAM + POKEY @ 0x0450;;
;a78_p450_ta;Atari 7800 ROM Carts w/SuperGame 9Banks + POKEY @ 0x0450;;
;a78_rom;Atari 7800 ROM Carts w/no Bankswitch;;
;a78_rom_abs;Atari 7800 ROM Carts w/Absolute Bankswitch;;
;a78_rom_act;Atari 7800 ROM Carts w/Activision Bankswitch;;
;a78_rom_mram;Atari 7800 ROM Carts + Mirror RAM;;
;a78_rom_pok;Atari 7800 ROM Carts w/no Bankswitch + POKEY;;
;a78_rom_sg;Atari 7800 ROM Carts w/SuperGame Bankswitch;;
;a78_rom_sg9;Atari 7800 ROM Carts w/SuperGame 9Banks;;
;a78_rom_sgp;Atari 7800 ROM Carts w/SuperGame Bankswitch + POKEY;;
;a78_rom_sgr;Atari 7800 ROM Carts w/SuperGame Bankswitch + RAM;;
;a78_versaboard;Atari 7800 VersaBoard Cart;;
;a78_versapokey;Atari 7800 VersaBoard + POKEY @ 0x450 Cart;;
;a78_xboard;Atari 7800 XBoarD expansion;;
;a78_xm;Atari 7800 XM expansion module;;
;a7lang;Agat-7 32K Language Card;;
;a7ports;Agat-7 Ports Card;;
;a7ram;Agat-7 32K RAM Card;;
;a800;Atari 800 (NTSC);1979;Atari
;a800_034m;Atari 800 ROM Carts OSS-034M;;
;a800_043m;Atari 800 ROM Carts OSS-043M;;
;a800_bbsb;Atari 800 ROM Carts BBSB;;
;a800_cart_slot;Atari 8bit Cartridge Slot;;
;a800_corina;Atari 800 ROM Carts Corina 1MB Flash ROM;;
;a800_corina_sram;Atari 800 ROM Carts Corina 512KB Flash ROM + 512KB RAM;;
;a800_express;Atari 800 64K ROM Carts Express/Diamond;;
;a800_m091;Atari 800 ROM Carts OSS-M091;;
;a800_oss8k;Atari 800 ROM Carts OSS 8K;;
;a800_rom;Atari 800 ROM Carts;;
;a800_rtime8;ICD R-Time 8;;
;a800_sitsa;Atari 800 64K ROM Carts SITSA MicroCalc;;
;a800_sparta;Atari 800 SpartaDOS ROM Carts;;
;a800_tlink2;Atari 800 64K ROM Cart Telelink II;;
;a800_turbo;Atari 800 64K ROM Carts Turbosoft;;
;a800_williams;Atari 800 64K ROM Carts Williams;;
;a800_xegs;Atari XEGS 64K ROM Carts;;
a800;a800pal;Atari 800 (PAL);1979;Atari
a800xl;a800xe;Atari 800XE;1986;Atari
;a800xl;Atari 800XL (NTSC);1983;Atari
a800xl;a800xlp;Atari 800XL (PAL);1983;Atari
;a8sio;Atari 8 bit SIO Slot;;
;a8sio_cass;Atari 8 bit cassette;;
aa310;aa3000;BBC A3000;1989;Acorn Computers
;aa3010;Acorn A3010;1992;Acorn Computers
aa3010;aa3020;Acorn A3020;1992;Acorn Computers
aa310;aa305;Archimedes 305;1987;Acorn Computers
;aa310;Archimedes 310;1987;Acorn Computers
aa5000;aa4;Acorn A4;1992;Acorn Computers
aa3010;aa4000;Acorn A4000;1992;Acorn Computers
aa310;aa4101;Archimedes 410/1;1989;Acorn Computers
aa310;aa4201;Archimedes 420/1;1989;Acorn Computers
aa310;aa440;Archimedes 440;1987;Acorn Computers
aa310;aa4401;Archimedes 440/1;1989;Acorn Computers
ibm5170;aa486s;PCI/I-A486S;1995;Asus
;aa500;Acorn A500 Development System;1986;Acorn Computers
;aa5000;Acorn A5000;1991;Acorn Computers
aa5000;aa5000a;Acorn A5000 Alpha;1993;Acorn Computers
aa500;aa500d;Acorn A500 Domesday Development System;1986;Acorn Computers
aa310;aa540;Archimedes 540;1990;Acorn Computers
;aa680;Acorn A680 UNIX Evaluation System;1988;Acorn Computers
;aaa;Ambassador;1981;Ann Arbor
;aadvent;African Adventure (Konami Endeavour, Russia);200?;Konami
;aafb;All American Football (rev E);1989;Leland Corporation
aafb;aafbb;All American Football (rev B);1989;Leland Corporation
aafb;aafbc;All American Football (rev C);1989;Leland Corporation
aafb;aafbd2p;All American Football (rev D, 2 Players);1989;Leland Corporation
;aar_101;Aaron Spelling (1.01);1992;Data East
;aavenger;Airborne Avenger;1977;Atari
;abacus;Abacus (Ver 1.0);2001;Nazionale Elettronica
ibm5170;abae4;486 EISA-AE4;199?;Abit
ibm5170;abah4;AB-AH4;199?;Abit
;abaseb;Atari Baseball (set 1);1979;Atari
abaseb;abaseb2;Atari Baseball (set 2);1979;Atari
astrof;abattle;Astro Battle (set 1);1979;bootleg? (Sidam)
astrof;abattle2;Astro Battle (set 2);1979;bootleg? (Sidam)
ibm5170;abav4;AB-AV4;199?;Abit
ibm5170;abax4;AB-AX4;199?;Abit
bbcbp;abc110;ABC 110;1985;Acorn Computers
;abc1600;ABC 1600;1985;Luxor
;abc1600mac;ABC 1600 MAC;;
;abc1600mover;ABC 1600 Mover;;
bbcbp;abc310;ABC 310;1985;Acorn Computers
;abc55;Luxor ABC 55;;
;abc77;Luxor ABC 77;;
;abc80;ABC 80;1978;Luxor Datorer AB
;abc800c;ABC 800 C/HR;1981;Luxor Datorer AB
;abc800kb;ABC-800 Keyboard;;
abc800c;abc800m;ABC 800 M/HR;1981;Luxor Datorer AB
;abc802;ABC 802;1983;Luxor Datorer AB
;abc806;ABC 806;1983;Luxor Datorer AB
;abc80_16kb;ABC 80 16KB RAM card;;
;abc80kb;ABC-80 Keyboard;;
;abc830;ABC 830;;
;abc832;ABC 832;;
;abc834;ABC 834;;
;abc838;ABC 838;;
;abc850;ABC 850;;
;abc850flop;ABC 850 Floppy;;
;abc852;ABC 852;;
;abc856;ABC 856;;
;abc890;ABC 890;;
;abc894;ABC 894;;
;abc99;Luxor ABC 99;;
;abc_db4106;DataBoard 4106 Minifloppy interface;;
;abc_db4107;DataBoard 4107 Winchester interface;;
;abc_db4112;DataBoard 4112;;
;abc_fd2;ABC FD2;;
;abc_keyboard_port;Luxor ABC keyboard port;;
;abc_memcard;ABC Memory Card;;
;abc_slutprov;Slutprov;;
;abc_ssa;Super Smartaid;;
;abc_uni800;UNI-800;;
;abc_unidisk;MyAB UNI DISK;;
;abcbus_slot;ABCBUS slot;;
;abcexp;ABC Expansion Unit;;
;abcheck;Abnormal Check;1996;Namco
;abclimax;After Burner Climax (Export);2006;Sega
;abcop;A.B. Cop (World) (FD1094 317-0169b);1990;Sega
abcop;abcopd;A.B. Cop (World) (bootleg of FD1094 317-0169b set);1990;bootleg
abcop;abcopj;A.B. Cop (Japan) (FD1094 317-0169b);1990;Sega
abcop;abcopjd;A.B. Cop (Japan) (bootleg of FD1094 317-0169b set);1990;bootleg
;abcsio;ABC SIO;;
;abigchs;Big Cheese (Russia) (Atronic);2002;Atronic
;abl4play;4 Player System - 10 in 1;200?;Advance Bright Ltd
penbros;ablast;Hong Tian Lei (A-Blast) (Japan);2000;Subsino
penbros;ablastb;Hong Tian Lei (A-Blast) (bootleg);2000;bootleg
;ablkickb;Kick Boxing (BJ8888, ABL TV Game);2006;Advance Bright Ltd / Coleco / V-Tac Technology Co Ltd.
;ablmini;Double Players Mini Joystick 80-in-1 (MJ8500, ABL TV Game);2006;Advance Bright Ltd
;ablpinb;Pinball (P8002, ABL TV Game);2005;Advance Bright Ltd
;ablping;Ping Pong / Table Tennis / Super Ping Pong (PP1100, ABL TV Game);2006;Advance Bright Ltd
;abltenni;Wireless Tennis (WT2000, ABL TV Game);2006;Advance Bright Ltd / V-Tac Technology Co Ltd.
;ablwikid;Wikid Joystick 14-in-1;200?;Advance Bright Ltd. / JungleTac
;abnudge;Animal Bonus Nudge (Version 2.1 Dual);2003;Amcoe
abnudge;abnudgeb;Animal Bonus Nudge (Version 2.0, set 1);2003;Amcoe
abnudge;abnudged;Animal Bonus Nudge (Version 2.0, set 2);2003;Amcoe
abnudge;abnudgeo;Animal Bonus Nudge (Version 1.7);2003;Amcoe
ibm5170;abpb4;AB-PB4;199?;Abit
ibm5170;abpi4;AB-PI4;199?;Abit
ibm5170;abpm4;AB-PM4;199?;Abit
ibm5170;abpv4;AB-PV4;199?;Abit
ibm5170;abpw4;AB-PW4;199?;Abit
puckman;abscam;Abscam;1981;GL (US Billiards license)
;abunai;Abunai Houkago - Mou Matenai (Japan 890325);1989;Green Soft
aburner2;aburner;After Burner;1987;Sega
;aburner2;After Burner II;1987;Sega
aburner2;aburner2g;After Burner II (German);1987;Sega
abv106;abv105;Airborne (1.5);1996;Capcom
;abv106;Airborne (1.6);1996;Capcom
abv106;abv106r;Airborne (Redemption);1996;Capcom
;ac1;Amateurcomputer AC1 Berlin;1984;Frank Heyder
ac1;ac1_32;Amateurcomputer AC1 Berlin (32 lines);1984;Frank Heyder
;ac1bbclb;Big Break Club (Ace) (ACESYS1) (set 1);199?;Ace
ac1bbclb;ac1bbclba;Big Break Club (Ace) (ACESYS1) (set 2);199?;Ace
;ac1bluec;Blue Chip (Pcp) (ACESYS1) (set 1);199?;Pcp
ac1bluec;ac1blueca;Blue Chip (Pcp) (ACESYS1) (set 2);199?;Pcp
ac1bluec;ac1bluecb;Blue Chip (Pcp) (ACESYS1) (set 3);199?;Pcp
ac1bluec;ac1bluecc;Blue Chip (Pcp) (ACESYS1) (set 4);199?;Pcp
ac1bluec;ac1bluecd;Blue Chip (Pcp) (ACESYS1) (set 5);199?;Pcp
;ac1clbmn;Club Money (Ace) (ACESYS1) (set 1);199?;Ace
;ac1clbsv;Club Sovereign (Ace) (ACESYS1);199?;Ace
;ac1clbxt;Club Xtra (Ace) (ACESYS1) (set 1);199?;Ace
ac1clbxt;ac1clbxta;Club Xtra (Ace) (ACESYS1) (set 2);199?;Ace
;ac1cshtw;Cash Towers (Ace) (ACESYS1);199?;Ace
;ac1dbldx;Double Deluxe (Pcp) (ACESYS1);199?;Pcp
;ac1gogld;Go For Gold (Ace) (ACESYS1) (set 1);199?;Ace
;ac1hideh;Hi De Hi Deluxe (Ace) (ACESYS1) (set 1);199?;Ace
sp_hideh;ac1hideha;Hi De Hi Deluxe (Ace) (ACESYS1) (set 2);199?;Ace
;ac1hotpf;Hot Profit (Ace) (ACESYS1);199?;Ace
;ac1nudbk;Nudge Break (Pcp) (ACESYS1) (set 1);199?;Pcp
ac1nudbk;ac1nudbka;Nudge Break (Pcp) (ACESYS1) (set 2);199?;Pcp
ac1nudbk;ac1nudbkb;Nudge Break (Pcp) (ACESYS1) (set 3);199?;Pcp
ac1nudbk;ac1nudbkc;Nudge Break (Pcp) (ACESYS1) (set 4);199?;Pcp
ac1nudbk;ac1nudbkd;Nudge Break (Pcp) (ACESYS1) (set 5);199?;Pcp
;ac1piaca;Play It Again Casino (Ace) (ACESYS1);199?;Ace
;ac1piacl;Play It Again Club (Ace) (ACESYS1) (set 1);199?;Ace
ac1piacl;ac1piacla;Play It Again Club (Ace) (ACESYS1) (set 2);199?;Ace
ac1piacl;ac1piaclb;Play It Again Club (Ace) (ACESYS1) (set 3);199?;Ace
ac1piacl;ac1piaclc;Play It Again Club (Ace) (ACESYS1) (set 4);199?;Ace
;ac1primt;Primetime (Ace) (ACESYS1) (set 1);199?;Ace
;ac1prmcl;Premier Club (Ace) (ACESYS1) (set 1);199?;Ace
ac1prmcl;ac1prmcla;Premier Club (Ace) (ACESYS1) (set 2);199?;Ace
ac1prmcl;ac1prmclb;Premier Club (Ace) (ACESYS1) (set 3);199?;Ace
ac1prmcl;ac1prmclc;Premier Club (Ace) (ACESYS1) (set 4);199?;Ace
;ac1pster;Pound Sterling (Ace) (ACESYS1);199?;Ace
;ac1pstrt;Pound Stretcher (Pcp) (ACESYS1);199?;Pcp
;ac1roll;Roll Up (Pcp) (ACESYS1) (set 1);199?;Pcp
ac1roll;ac1rolla;Roll Up (Pcp) (ACESYS1) (set 2);199?;Pcp
ac1roll;ac1rollb;Roll Up (Pcp) (ACESYS1) (set 3);199?;Pcp
;ac1rundx;Runner Deluxe Club (Ace) (ACESYS1) (set 1);199?;Ace
ac1rundx;ac1rundxa;Runner Deluxe Club (Ace) (ACESYS1) (set 2);199?;Ace
ac1;ac1scch;Amateurcomputer AC1 SCCH;1984;Frank Heyder
;ac1shid;Super Hi De Hi (Ace) (ACESYS1) (set 1);199?;Ace
ac1shid;ac1shida;Super Hi De Hi (Ace) (ACESYS1) (set 2);199?;Ace
;ac1sstrk;Starstruck (Pcp) (ACESYS1) (set 1);199?;Pcp
ac1sstrk;ac1sstrka;Starstruck (Pcp) (ACESYS1) (set 2);199?;Pcp
ac1sstrk;ac1sstrkb;Starstruck (Pcp) (ACESYS1) (set 3);199?;Pcp
;ac1taklv;Take It Or Leave It (Ace) (ACESYS1) (set 1);199?;Ace
;ac1totb;Top Of The Bill (Ace) (ACESYS1);199?;Ace
;ac1unk;unknown Ace System 1 game;199?;Ace
;ac1xpres;Xpress (Pcp) (ACESYS1);199?;Pcp
;ac97;AC'97 Audio;;
;academy;Mephisto Academy (English);1989;Hegener + Glaser
academy;academyg;Mephisto Academy (German, 06-03-89);1989;Hegener + Glaser
academy;academyga;Mephisto Academy (German, 04-10-88);1989;Hegener + Glaser
;acansound;Super A'Can Audio;;
;acb2072;ACB-2072 RLL Drive Controller;;
;acb4070;ACB4070;;
;acchi;Janken Game Acchi Muite Hoi! (Japan 1.3);1995;Data East Corporation
;accomm;Acorn Communicator;1986;Acorn Computers
accomm;accommb;Acorn Briefcase Communicator;1987;Acorn Computers
accomm;accommi;Acorn Communicator (Italian);1988;Acorn Computers
accomm;accommp;Acorn Communicator (prototype);1985;Acorn Computers
;acd;unknown ACD computer;198?;Advanced Computer Design
;ace;Ace;1976;Allied Leisure
apple2;ace100;Franklin ACE 100;1982;Franklin Computer
apple2;ace1000;Franklin ACE 1000;1982;Franklin Computer
apple2e;ace2200;Franklin ACE 2200;1985;Franklin Computer
;ace2x00s1;Franklin Ace 2x00 Parallel Port;;
;ace2x00s6;Franklin Ace 2x00 Disk Port;;
apple2c;ace500;Franklin ACE 500;1986;Franklin Computer
;ace_sp_reelctrl;ACE sp.ACE Reel Controller PCB;;
;ace_sp_reelctrl_pcp;ACE sp.ACE Reel Controller PCB (PCP clone);;
;aceattac;Ace Attacker (FD1094 317-0059);1988;Sega
aceattac;aceattaca;Ace Attacker (Japan, System 16A, FD1094 317-0060);1988;Sega
;acedrive;Ace Driver: Racing Evolution (World, AD2);1994;Namco
;aceex2814;Aceex 2814;1995;Aceex Corporation
;acefruit;Silhouette;1982?;ACE
;acheart;Arcana Heart;2005;Examu
;acheartf;Arcana Heart Full;2006;Examu
;acia6850;MC6850 ACIA;;
bwcasino;acitya;Atlantic City Action;1983;Epos Corporation
;aclown;Clown (Russia) (Atronic);2002;Atronic
astrof;acombat;Astro Combat (newer, CB);1979;bootleg
astrof;acombat3;Astro Combat (unencrypted);1979;bootleg (Proel)
astrof;acombat4;Astro Combat (encrypted);1979;bootleg (Proel)
astrof;acombato;Astro Combat (older, PZ);1979;bootleg
;acommand;Alien Command;1994;Jaleco
;acorn_32k;Acorn 32K Dynamic RAM Board;;
;acorn_8k;Acorn 8K Static Memory Board;;
;acorn_bmu;Acorn Battery Management Unit;;
;acorn_bus;Acorn Bus;;
;acorn_bus_slot;Acorn Bus Eurocard slot;;
;acorn_cass;Acorn Cassette Interface;;
;acorn_econet;Acorn Econet Interface;;
;acorn_fdc;Acorn Floppy Disc Controller Board;;
;acorn_lc;Acorn LC ASIC;;
;acorn_vdu40;Acorn 40 Column VDU Interface;;
;acorn_vdu80;Acorn 80x25 VDU Interface;;
;acorn_vib;Acorn Versatile Interface Board;;
;acorn_vidc1;Acorn VIDC1;;
;acorn_vidc1a;Acorn VIDC1a;;
;acr20;ACR-20 Digital Accompaniment Center;199?;Kawai Musical Instruments Manufacturing
;acrnsys1;Acorn System 1;1979;Acorn
acrnsys3;acrnsys2;Acorn System 2;1980;Acorn Computers
;acrnsys3;Acorn System 3 (6502 CPU);1980;Acorn Computers
acrnsys3;acrnsys3_6809;Acorn System 3 (6809 CPU);1980;Acorn Computers
acrnsys3;acrnsys4;Acorn System 4;1980;Acorn Computers
;acrnsys5;Acorn System 5;1982;Acorn Computers
;acrobatm;Acrobat Mission;1991;UPL (Taito license)
acrobatm;acrobatmbl;Acrobat Mission (bootleg with Raiden sounds);1991;bootleg
;acs8600_ics;Altos ACS8600 Intelligent Serial Concentrator;;
;act2000;Action 2000 (Version 3.5E Dual);1999;Amcoe
act2000;act2000b1;Action 2000 (Version 3.5R, set 2);1999;Amcoe
act2000;act2000bx;Action 2000 (Version 3.30XT, set 2);1999;Amcoe
act2000;act2000d1;Action 2000 (Version 3.5R, set 1);1999;Amcoe
act2000;act2000dx;Action 2000 (Version 3.30XT, set 1);1999;Amcoe
act2000;act2000o;Action 2000 (Version 3.3);1999;Amcoe
act2000;act2000o2;Action 2000 (Version 3.10XT);1999;Amcoe
act2000;act2000o3;Action 2000 (Version 1.2);1999;Amcoe
act2000;act2000v1;Action 2000 (Version 3.5R Dual);1999;Amcoe
act2000;act2000vx;Action 2000 (Version 3.30XT Dual);1999;Amcoe
;act5a;ACT-5A;1980;Micro-Term
;actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 3);1989;Data East Corporation
actfancr;actfancr1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);1989;Data East Corporation
actfancr;actfancr2;Act-Fancer Cybernetick Hyper Weapon (World revision 2);1989;Data East Corporation
actfancr;actfancrj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);1989;Data East Corporation
;actionhw;Action Hollywood;1995;TCH
bbcbp;acw443;ABC 210/Cambridge Workstation;1985;Acorn Computers
;ad1848;AD1848 16-bit SoundPort Stereo Codec;;
;ad2083;A. D. 2083;1983;Midcoin
;ad4ctl;Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1);200?;BFM
ad4ctl;ad4ctla;Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2);200?;BFM
;ad4film;Film Premiere (Video?) (Bellfruit) (Adder 4) (set 1);200?;BFM
ad4film;ad4filma;Film Premiere (Video?) (Bellfruit) (Adder 4) (set 2);200?;BFM
;ad4skill;Skill Dice (BFM) (Scorpion 4 + Adder 4);200?;BFM
;ad557;AD557 DAC;;
;ad558;AD558 DAC;;
;ad5bpfpm;Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1);200?;Mazooma
ad5bpfpm;ad5bpfpma;Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2);200?;Mazooma
ad5bpfpm;ad5bpfpmb;Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3);200?;Mazooma
ad5bpfpm;ad5bpfpmc;Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4);200?;Mazooma
ad5bpfpm;ad5bpfpmd;Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5);200?;Mazooma
;ad5btc;Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5btc;ad5btca;Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3);200?;BFM
ad5btc;ad5btcb;Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4);200?;BFM
;ad5cmons;Crazy Money (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5cmons;ad5cmonsa;Crazy Money (Bellfruit) (Adder 5) (set 2);200?;BFM
;ad5copsr;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5crsc;ad5copsr0;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7);200?;Mazooma
ad5crsc;ad5copsr1;Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2);200?;Mazooma
ad5crsc;ad5copsr2;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8);200?;Mazooma
ad5crsc;ad5copsr3;Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1);200?;Mazooma
ad5crsc;ad5copsr4;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5);200?;Mazooma
ad5crsc;ad5copsr5;Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2);200?;Mazooma
ad5crsc;ad5copsr6;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6);200?;Mazooma
ad5crsc;ad5copsr7;Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4);200?;Mazooma
ad5copsr;ad5copsra;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2);200?;BFM
ad5copsr;ad5copsrb;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3);200?;BFM
ad5copsr;ad5copsrc;Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5copsr;ad5copsrd;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4);200?;BFM
ad5copsr;ad5copsre;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5);200?;BFM
ad5copsr;ad5copsrf;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6);200?;BFM
ad5copsr;ad5copsrg;Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2);200?;BFM
ad5crsc;ad5copsrh;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1);200?;Mazooma
ad5crsc;ad5copsri;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2);200?;Mazooma
ad5crsc;ad5copsrj;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5);200?;Mazooma
ad5copsr;ad5copsrk;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7);200?;BFM
ad5copsr;ad5copsrl;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8);200?;BFM
ad5copsr;ad5copsrm;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9);200?;BFM
ad5copsr;ad5copsrn;Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3);200?;BFM
ad5copsr;ad5copsro;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10);200?;BFM
ad5copsr;ad5copsrp;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11);200?;BFM
ad5copsr;ad5copsrq;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12);200?;BFM
ad5copsr;ad5copsrr;Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4);200?;BFM
ad5crsc;ad5copsrs;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3);200?;Mazooma
ad5crsc;ad5copsrt;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4);200?;Mazooma
ad5crsc;ad5copsru;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6);200?;Mazooma
ad5copsr;ad5copsrv;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13);200?;BFM
ad5copsr;ad5copsrw;Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14);200?;BFM
ad5copsr;ad5copsrx;Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5);200?;BFM
ad5copsr;ad5copsry;Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6);200?;BFM
ad5crsc;ad5copsrz;Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1);200?;Mazooma
;ad5crcpt;Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5crcpt;ad5crcpta;Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2);200?;BFM
;ad5crsc;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1);200?;Mazooma
ad5crsc;ad5crsca;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2);200?;Mazooma
ad5crsc;ad5crscb;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3);200?;Mazooma
ad5crsc;ad5crscc;Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4);200?;Mazooma
ad5crsc;ad5crscd;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7);200?;Mazooma
ad5crsc;ad5crsce;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 8);200?;Mazooma
ad5crsc;ad5crscf;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 9);200?;Mazooma
ad5crsc;ad5crscg;Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 10);200?;Mazooma
ad5crsc;ad5crsch;Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 3);200?;Mazooma
;ad5dnd;Deal Or No Deal (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5dnd;ad5dnda;Deal Or No Deal (Bellfruit) (Adder 5) (set 2);200?;BFM
ad5dnd;ad5dndb;Deal Or No Deal (Bellfruit) (Adder 5) (set 3);200?;BFM
ad5dnd;ad5dndc;Deal Or No Deal (Bellfruit) (Adder 5) (set 4);200?;BFM
;ad5dndcl;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5dndcl;ad5dndcla;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 2);200?;BFM
ad5dndcl;ad5dndclb;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 3);200?;BFM
ad5dndcl;ad5dndclc;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 4);200?;BFM
ad5dndcl;ad5dndcld;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 5);200?;BFM
ad5dndcl;ad5dndcle;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 6);200?;BFM
ad5dndcl;ad5dndclf;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 20);200?;BFM
ad5dndcl;ad5dndclg;Deal Or No Deal Club (Bellfruit) (Adder 5) (set 21);200?;BFM
ad5dnd;ad5dndd;Deal Or No Deal (Bellfruit) (Adder 5) (set 5);200?;BFM
;ad5dnddd;Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 1);200?;BFM
ad5dnddd;ad5dnddda;Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 2);200?;BFM
ad5dnd;ad5dnde;Deal Or No Deal (Bellfruit) (Adder 5) (set 6);200?;BFM
ad5dnd;ad5dndf;Deal Or No Deal (Bellfruit) (Adder 5) (set 7);200?;BFM
ad5dnd;ad5dndg;Deal Or No Deal (Bellfruit) (Adder 5) (set 8);200?;BFM
